audit_id,actor_user_id,actor_role,action_type,entity_type,entity_id,outcome,framework_tags,details,created_at
AU0077,U0006,Administrator,delete,location,L0453,Success,GDPR|IMO|Port Governance,Deleted location record.,2026-04-26T14:34:19+00:00
AU0078,U0012,Security Officer,system_access,session,U0012,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-04-26T14:38:26+00:00
AU0079,U0019,Harbourmaster,system_access,session,U0019,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-04-26T14:38:34+00:00
AU0080,U0006,Administrator,system_access,session,U0006,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-04-26T14:38:41+00:00
AU0081,U0006,Administrator,system_access,session,U0006,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-04-26T14:55:17+00:00
AU0082,U0019,Harbourmaster,system_access,session,U0019,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-04-26T14:55:27+00:00
AU0083,U0012,Security Officer,system_access,session,U0012,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-04-26T14:55:35+00:00
AU0084,U0006,Administrator,system_access,session,U0006,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-04-26T15:11:28+00:00
AU0085,U0006,Administrator,system_access,session,U0006,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-04-26T15:30:37+00:00
AU0086,U0019,Harbourmaster,system_access,session,U0019,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-04-26T15:34:03+00:00
AU0087,U0006,Administrator,system_access,session,U0006,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-04-26T15:34:19+00:00
AU0088,U0006,Administrator,delete,location,L0452,Success,GDPR|IMO|Port Governance,Deleted location record.,2026-04-26T15:35:47+00:00
AU0089,U0006,Administrator,create,location,L0452,Success,GDPR|IMO|Port Governance,Created location record.,2026-04-26T15:36:51+00:00
AU0090,U0006,Administrator,update,location,L0452,Success,GDPR|IMO|Port Governance,Updated location record.,2026-04-26T15:37:13+00:00
AU0091,U0006,Administrator,update,location,L0452,Success,GDPR|IMO|Port Governance,Updated location record.,2026-04-26T15:37:17+00:00
AU0092,U0006,Administrator,update,location,L0452,Success,GDPR|IMO|Port Governance,Updated location record.,2026-04-26T15:37:23+00:00
AU0093,U0006,Administrator,system_access,session,U0006,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-04-26T15:38:22+00:00
AU0094,U0006,Administrator,delete,location,L0452,Success,GDPR|IMO|Port Governance,Deleted location record.,2026-04-26T15:44:12+00:00
AU0095,U0006,Administrator,update,location,L0451,Success,GDPR|IMO|Port Governance,Updated location record.,2026-04-26T15:44:46+00:00
AU0096,U0006,Administrator,update,location,L0451,Success,GDPR|IMO|Port Governance,Updated location record.,2026-04-26T15:44:52+00:00
AU0097,U0006,Administrator,delete,location,L0451,Success,GDPR|IMO|Port Governance,Deleted location record.,2026-04-26T15:44:59+00:00
AU0098,U0006,Administrator,update,location,L0500,Success,GDPR|IMO|Port Governance,Updated location record.,2026-04-26T19:58:07+00:00
AU0099,U0006,Administrator,create,location,L0453,Success,GDPR|IMO|Port Governance,Created location record.,2026-04-26T20:01:30+00:00
AU0100,U0006,Administrator,update,location,L0453,Success,GDPR|IMO|Port Governance,Updated location record.,2026-04-26T20:01:37+00:00
AU0101,U0006,Administrator,update,location,L0453,Success,GDPR|IMO|Port Governance,Updated location record.,2026-04-26T20:01:42+00:00
AU0102,U0006,Administrator,update,location,L0453,Success,GDPR|IMO|Port Governance,Updated location record.,2026-04-26T20:07:52+00:00
AU0103,U0006,Administrator,update,location,L0453,Success,GDPR|IMO|Port Governance,Updated location record.,2026-04-26T20:08:07+00:00
AU0104,U0006,Administrator,system_access,session,U0006,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-04-26T20:08:17+00:00
AU0105,U0006,Administrator,update,location,L0453,Success,GDPR|IMO|Port Governance,Updated location record.,2026-04-26T20:08:32+00:00
AU0106,U0019,Harbourmaster,system_access,session,U0019,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-04-26T20:13:38+00:00
AU0107,U0019,Harbourmaster,create,location,L0503,Success,GDPR|IMO|Port Governance,Created location record.,2026-04-26T20:18:51+00:00
AU0108,U0019,Harbourmaster,create,location,L0504,Success,GDPR|IMO|Port Governance,Created location record.,2026-04-26T20:18:59+00:00
AU0109,U0019,Harbourmaster,create,location,L0505,Success,GDPR|IMO|Port Governance,Created location record.,2026-04-26T20:19:05+00:00
AU0110,U0019,Harbourmaster,create,location,L0506,Success,GDPR|IMO|Port Governance,Created location record.,2026-04-26T20:19:15+00:00
AU0111,U0019,Harbourmaster,delete,location,L0456,Success,GDPR|IMO|Port Governance,Deleted location record.,2026-04-26T20:19:35+00:00
AU0112,U0019,Harbourmaster,create,location,L0507,Success,GDPR|IMO|Port Governance,Created location record.,2026-04-26T20:19:39+00:00
AU0113,U0019,Harbourmaster,delete,location,L0507,Success,GDPR|IMO|Port Governance,Deleted location record.,2026-04-26T20:19:58+00:00
AU0114,U0019,Harbourmaster,create,location,L0507,Success,GDPR|IMO|Port Governance,Created location record.,2026-04-26T20:20:03+00:00
AU0115,U0006,Administrator,system_access,session,U0006,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-04-26T20:27:19+00:00
AU0116,U0019,Harbourmaster,system_access,session,U0019,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-04-26T20:28:01+00:00
AU0117,U0012,Security Officer,system_access,session,U0012,Success,GDPR|IMO|Port Governance,User signed in to the SMPOOS admin platform.,2026-04-26T20:28:24+00:00
